person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;t_quest_max;t_quest_min;t_quest_mean;t_quest_std;nr_abandons;nr_scroll;nr_items_scroll;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_pauses;t_pauses_max;t_pauses_min;t_pauses_mean;t_pauses_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;vt_max;vt_min;vt_mean;vt_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;angles_max;angles_min;angles_mean;angles_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;jitter;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;s;straightness_max;straightness_min;straightness_mean;straightness_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;w_max;w_min;w_mean;w_std
41;1.5;1.58;1.23;2.6;2.5;1.8;4.5;2.43;13.073999999999998;0.13799999999999102;4.303485714285714;3.648963378208968;0.0;4.0;10.0;13.0;1.0;0.0;12.690000000000012;0.5659999999999991;2.50542105263158;2.746944854423003;0.18299999999999272;0.09499999999999886;0.1283157894736833;0.019936881009243915;1.7222222222222223;9.35;1.1300000000000026;2.3768947368421074;1.7814753168958428;986463.6207777405;-764226.4402855161;-0.0016762592250868405;14251.117408743528;328821206.92745864;-328821206.9024819;-1.0716784745400448e-07;6266991.0449306425;6437.556945498055;0.0763880458577465;35.6090031722053;231.96521326550484;5281.694855725957;0.0;84.77873369106588;337.1969673119632;6155.6418448413915;0.005912246895535439;50.194425442497895;238.00311685620116;22.57000426625029;-6.09830244803856;8.571694881597292;6.3233014578634075;4.819332868859715;-11.496861813450618;-0.0001254537005437078;0.2790834275013527;0.947906604218252;789.5638485291374;19.535259307612133;206.7511378705064;211.25396245471043;5539.586926778365;1.0;0.07465818015566934;0.7003214386824647;0.2810715951826191;207.3519727936013;-22.017384021688525;0.06908614719258596;3.627576263678504;1306.3019694579998;-10.293860262509543;0.4341958906260353;18.10240308385504
42;3.0;1.75;3.46;2.8;2.67;2.4;4.4;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;3.67;3.33;2.15;3.2;2.92;3.2;3.9;2.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;3.0;2.92;1.92;2.8;2.25;1.6;4.0;1.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;3.25;2.67;3.15;2.4;2.58;2.2;4.4;2.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;3.58;3.33;3.46;3.0;3.0;2.6;3.1;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;4.67;3.25;2.85;3.0;3.08;2.8;4.4;3.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;3.83;2.08;2.23;2.0;2.58;2.6;4.6;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;3.92;3.75;2.85;3.2;2.58;2.6;3.6;2.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;3.17;3.17;2.31;3.2;2.92;2.4;3.7;2.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;3.83;3.33;2.69;2.8;2.5;3.0;4.5;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;3.25;2.83;2.62;2.8;2.83;2.6;3.6;2.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;3.33;1.92;2.31;3.0;2.75;2.0;3.6;2.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;3.0;2.17;2.23;3.4;2.75;2.2;4.0;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
