person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;t_quest_max;t_quest_min;t_quest_mean;t_quest_std;nr_abandons;nr_scroll;nr_items_scroll;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_pauses;t_pauses_max;t_pauses_min;t_pauses_mean;t_pauses_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;vt_max;vt_min;vt_mean;vt_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;angles_max;angles_min;angles_mean;angles_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;jitter;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;s;straightness_max;straightness_min;straightness_mean;straightness_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;w_max;w_min;w_mean;w_std
1;2.50;3.50;2.77;2.8;2.58;2;4.1;2.43;22.18100000000001;0.15500000000000114;6.169677419354838;4.833642634881916;0.0;1.0;8.0;8.0;3.0;0.0;12.979000000000001;0.5409999999999968;2.983571428571427;2.595822276758755;0.011999999999998678;0.0049999999999954525;0.007333333333333076;0.0019840634910464018;2.0555555555555554;10.531999999999998;1.1380000000000052;3.746972222222221;2.286934501881297;93365.89878117359;-83966.1362304954;-2.014734776772334e-11;3511.9343717218785;11953715.734376146;-10357614.48198684;3.1741933286476498e-09;519840.6782446655;2826.124499328152;0.017178448116644037;31.787749660839395;124.90647006426848;2510.8074364484037;0.0;119.27627455195064;212.6274787100723;1297.2377202264029;0.0;40.86118109786005;102.9730260320562;4.360649720351065;-17.611122285857483;-6.387715743377893;4.959968231562385;2.08737821167783;-10.816649508119223;-0.0038984231892841754;0.1880366527783458;0.9636173767672903;714.3907254615791;8.962350273069575;160.3042274399182;157.0434773941422;6291.946931225636;1.0;0.10150689892963133;0.8243181772747075;0.23933715029400804;184.51315499819316;-16.68885508258267;0.02768904210326976;2.3670811103938116;2.9102482270626795;-30.023666805359763;-0.11182795311283023;0.935927630683363
4;2.67;3.25;3.00;2.6;2.75;2.2;4;2.86;24.751000000000005;0.10199999999998965;5.725666666666667;6.600339396436227;1.0;5.0;14.0;30.0;2.0;0.0;22.253;0.36000000000001364;4.682210526315789;6.452063697428805;0.11200000000000898;0.09399999999999409;0.09924999999999873;0.007462405778305734;2.611111111111111;20.430000000000003;1.0550000000000068;5.466377777777779;4.874684588264322;12928930.989792459;-13045473.270701244;9.906279462790063e-10;44939.07651019269;13045473270.638954;-25974404261.107918;-1.1150612975580075e-06;71026702.05740634;13960.548179857786;0.029500188193344143;34.252546801018795;200.37343484283394;13960.548157398609;0.00010316898624247038;184.7532717582448;432.50811162920223;3904.4651008866267;0.0;59.790766938753706;183.3667487837861;25.595838275845203;-3.7405977955943217;13.848477548046592;8.636725409165233;6.382373828163546;-6.417993642544302;0.0011975311516251148;0.16485855356573434;0.9741700892412631;1016.288679798192;5.000000000000455;280.7952468440177;270.0348329986131;12853.43672729445;1.0;0.06220926253181494;0.7265414984737267;0.3175341657537223;65.83397343124797;-29.72019380154661;0.0028822975235513987;0.8210536928730365;140.08159837853123;-5.10517289732086;0.15902715270488937;2.6923396437955214
5;2.67;2.58;3.15;2.4;2.67;4.4;3.2;2.86;21.218999999999994;0.10600000000000875;5.38965625;4.672928007479456;0.0;2.0;10.0;9.0;3.0;0.0;4.369;0.3830000000000098;0.7710000000000005;0.8258835384287654;0.15200000000000102;0.13599999999999568;0.13890476190476198;0.003379275237945544;1.1666666666666667;18.766999999999996;1.671999999999997;5.762649999999997;3.649488652880016;6892458.333565013;-6226496.017808695;-2.9179879349195723e-10;46153.429983063754;6892458295.293306;-6892458333.63005;-1.3248380078927226e-07;66679207.54471055;7043.525349211469;0.15706319750070438;42.20664755171784;203.31823430694112;6634.796090889647;0.0;141.78034660189888;328.28813953919683;3719.6235720236104;0.001721354919940869;64.86324031776856;209.67054098367203;3.5730583811169914;-19.654734053891804;-6.8516522605183985;5.559013157845695;8.30535726792047;-11.407360907903929;-0.0007734754487284175;0.266663953347556;0.9408676224720337;840.2032351466534;33.000000000000455;332.94535191077273;227.52175816824234;8328.060261008213;1.0;0.1293400517030728;0.5883765517885984;0.2819178637275852;69.85062973051079;-58.17169128760543;-0.006468076221326775;1.8780933789083583;5.071677407258167;-48.934602677807966;-0.08579543006105966;0.8666714809121397
7;2.33;2.50;2.00;2.4;2.42;2.2;4.3;2.43;13.945;0.15200000000001523;3.7067368421052636;3.828424512320621;0.0;2.0;6.0;14.0;5.0;0.0;9.641000000000005;0.34499999999999886;1.4271739130434777;2.065685056431147;0.13799999999999102;0.06699999999999307;0.10247826086956388;0.010989598106420568;1.1111111111111112;9.493000000000002;1.4570000000000007;4.108210526315791;1.856880252323273;1147995.1251356627;-695221.2197167762;7.098551595035093e-11;14398.667090496401;172219347.98436132;-229599025.02713233;-2.419160838723147e-08;3738031.2359137246;8103.309755152627;0.44925176534929895;47.673269204515634;216.72162582311677;7175.712415088804;0.00028241386189605796;103.64131163737923;321.96479573573197;3764.6753278193924;0.00046153065795848444;56.518289461571236;152.89364976776014;-2.467841400765372;-50.32952603897929;-23.534457414666534;13.222477389202444;6.184002983804739;-7.229549668432491;-0.004718115073589686;0.238917290705819;0.9455024821832992;850.299239976583;52.668530857168506;341.5823000772179;241.13865241649088;7072.670829389534;0.9791786556957501;0.03272794263340906;0.48569375216784716;0.3685264783770843;71.46750320900331;-51.06766270728843;0.0022633369681816264;1.2153146811558488;-0.00044135573517510904;-71.82564837741322;-0.26772936296453004;1.7827132968401267
8;3.67;3.42;3.08;4.2;3.67;2;3.9;3.29;11.863;0.1150000000000091;3.650903225806451;2.815062508385671;0.0;1.0;5.0;3.0;7.0;1.0;11.314;0.2839999999999918;2.8508076923076917;2.341146580026889;0.15699999999999648;0.06699999999999307;0.10653846153846235;0.019731331525950444;1.3888888888888888;8.061;1.1299999999999955;2.72724;1.4056358925411665;19754221.38826638;-21124318.214432392;6.319833381232171e-10;107103.399570805;21124318214.631268;-21124318207.126965;-8.532913585225518e-07;152031930.42943978;23005.913559026994;0.027744420593108145;48.40338082748619;239.4926627289874;22572.794739450608;0.0;123.3895678223499;379.331071007473;4443.084101842645;4.194271241411097e-05;43.91196625613311;122.180421216668;12.300287360624027;-28.336088405272342;-11.85458014575545;10.497148013003692;6.477859251953777;-7.002533324530499;-0.0040349310074770444;0.22424926854852825;0.9084256955877743;1089.7144566882935;14.000000000000114;212.27314714365687;221.84449025182732;6555.986033149509;1.0;0.07368065291652845;0.6119376597732169;0.3445208778997597;80.40133138210808;-42.93077190667625;0.00853483643053482;1.3109972995478856;14.585991070585138;-29.358681671790748;-0.10318629935186414;0.9272184151372674
10;3.58;3.08;2.46;3.4;2.83;1.6;4.2;2.43;13.932000000000002;0.10299999999998022;4.267794871794872;4.106227067169228;0.0;3.0;18.0;15.0;2.0;0.0;4.511000000000024;0.38800000000000523;1.2098500000000012;1.0760170665468127;0.009000000000000341;0.006000000000000227;0.007199999999999563;0.0008717797887074478;1.6666666666666667;11.815000000000012;1.054000000000002;4.109000000000002;2.599743183602886;227927.45505665522;-224361.13359740388;-2.9637157793239926e-11;5239.606044172671;24652076.58243558;-56536073.58188915;2.470561767575828e-09;900646.1163088365;4749.478642671755;0.46819368205094514;35.41334608997204;165.34970481872497;2061.4185188828133;0.0;103.45777842899099;204.14392451176104;4278.796684489976;0.015059819048683278;59.599485896112185;233.47122901416896;10.234787382422118;-10.61508667771589;-1.2863557957103142;5.77400457646226;3.9363034969611186;-3.2026860460209066;0.0003448216233924203;0.17238522757802388;0.9179986621614664;1064.5459527331006;11.0;197.11297154206352;199.6951819797952;6730.578715120619;1.0;0.055839490249891946;0.7398729358341102;0.3220958535046352;11.874871123065189;-50.472237599639726;-0.012965134692098618;0.9919704831641208;10.267453572295434;-23.685427144914815;-0.0034756501651230626;0.5497282468177459
13;2.92;4.08;2.77;2.6;2.75;4.2;2.8;2.86;24.779;0.32399999999998386;5.034423076923076;5.224437519765072;2.0;2.0;15.0;2.0;4.0;0.0;27.931999999999995;0.4969999999999999;3.1181818181818186;5.628238474920772;0.18999999999999773;0.1559999999999775;0.17018181818181793;0.011621439292948467;1.6111111111111112;30.753000000000014;1.4380000000000024;5.332500000000002;6.6372649460666935;799344.0641252565;-765972.9445060419;1.1300457202925033e-10;13117.681047952854;282600267.7484388;-266448021.37381324;-8.411032642429877e-08;5974780.421641028;5712.222754205257;0.3985401811789679;41.86468179771851;216.3309776857892;5478.766918352671;0.013688747079261487;229.62874892028586;456.61310734155;2304.453185388257;2.4027618413431204e-05;64.91328193491825;154.35502922502084;12.676780851326935;-27.849953402235265;-7.315049059795548;11.693715968395955;3.973865987979953;-4.755567347513113;-0.0029614287613614148;0.1627400912505172;0.9629419599516909;1227.5615160313391;55.804659327826975;277.4097676769852;228.9059399936435;8550.673759449908;0.9991382630846621;0.07409178571651351;0.671452891092366;0.3164038725659289;27.58617830919892;-16.74819474177332;-0.0003743478460549426;0.4674891656736203;22.1151704039892;-41.14710396738762;-0.059505034594242105;0.8688594409277376
15;4.00;2.67;1.69;3;2.75;2.8;3.8;2.57;12.397000000000006;0.10300000000000153;3.3965128205128203;3.4722970219740694;0.0;2.0;8.0;17.0;3.0;0.0;1.9620000000000033;0.291000000000011;0.6131904761904782;0.3697407868130137;0.18200000000000216;0.12000000000000455;0.14995238095238217;0.015527168786406444;1.2777777777777777;9.338999999999999;1.2779999999999987;3.2892272727272713;1.7112140541896554;6133177.818706842;-6151846.568799581;8.27450406376242e-10;63796.979021354215;6151846548.488986;-6151846589.036987;-4.770997897521269e-07;90316788.31504908;7849.0101388325575;0.39135011468497716;71.13158410260104;250.85157948255065;7848.702493369717;9.224470431901474e-05;157.13972974043224;361.4906317346436;2084.2239259863345;0.0;48.81156153023932;106.04227782576076;16.798413263087202;-16.31838715239748;-0.17846593060131;7.418473287089016;3.5235218677079927;-3.4886425813417814;-0.002422594944630722;0.22111151538619056;0.9626212094662835;979.3225461631325;16.999999999999943;433.5869888252533;245.65175141337826;9555.669510172263;1.0;0.06194177502293382;0.3126580347714789;0.3278655369966097;39.77233356476998;-13.175318510151074;0.0039229725025865915;0.5700901428932447;19.368806905673523;-18.96369864974125;0.005576946601077409;0.4797180059356251
17;3.42;2.67;3.00;3.4;2.67;3.6;4;2.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;4.00;1.42;2.62;3.4;2.75;2.4;3.2;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
