person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;v_max;v_min;v_mean;v_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;time_items_max;time_items_min;time_items_mean;time_items_std;time_pauses_max;time_pauses_min;time_pauses_mean;time_pauses_std;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;l_quest;jitter;straightness_max;straightness_min;straightness_mean;straightness_std;angles_max;angles_min;angles_mean;angles_std;w_max;w_min;w_mean;w_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;nr_pauses;nr_zapp;nr_items_zapp;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_abandons
1;2.50;3.50;2.77;2.8;2.58;2;4.1;2.43;2756.4184204666026;0.10784160075536778;36.66658710711771;140.6188878054326;2452.964430574839;0.0008185921463639709;107.84138823518435;203.64971937407336;2451.792783240606;0.0;46.43432489440891;141.239679936497;112496.86823726533;-96796.20809297934;-3.1373044165513977;3972.874114628038;12499652.026342604;-23254786.25895191;-32.771364139281886;612022.2076871096;22.18100000000001;0.15500000000000114;6.169677419354838;4.833642634881916;4.5660000000000025;1.0080000000000098;2.2340833333333348;1.0283115171916006;828.991440090082;10.860061458016302;180.36407017593243;187.68792360062832;7140.379790309144;0.9635641565292418;1.0;0.09061836913551267;0.8191991853405686;0.2369435427467567;4.33802680376049;-27.318625524405505;-11.099257269087023;8.74587677642458;11.779411981829591;-204.2424740833543;-0.2620314752568776;3.631862897811983;6.588638906007674;-3.498633410759545;-0.0024583598039007145;0.1597904375459171;12.419262541376051;-43.38922523805431;-0.0017449704776184654;0.5948537265194397;2.2222222222222223;1.0;8.0;8.0;3.0;0.0;5.202999999999989;0.5409999999999968;2.4476666666666653;1.33002858305603;0.011999999999998678;0.0049999999999954525;0.007333333333333076;0.0019840634910464018;0.0
4;2.67;3.25;3.00;2.6;2.75;2.2;4;2.86;15926.060391200806;0.043773349716293694;39.4234675893605;255.1159940413279;14464.829596151103;0.00016499109242185873;111.04075429389441;381.41606682658147;15731.301616996247;0.0;44.036541609659544;257.818336166262;13448547.462216804;-13565643.462879496;-22.15714515836325;55528.08209886554;13565643463.200281;-27014190924.96731;9.837301952586298e-07;85141196.7715741;24.751000000000005;0.10199999999998965;5.725666666666667;6.600339396436227;6.539000000000044;1.0039999999999907;2.475240000000001;1.3531522391808013;1164.785561593175;6.0000000000001705;302.51302316391144;294.176726886248;14867.364879777166;0.9741718685796494;1.0;0.06668652279402883;0.720862689323657;0.3133683563935262;12.624624101841198;-16.730297532045117;1.2237522718718516;7.239137920075467;135.49547313998568;-29.339238148339717;0.01915554606145382;1.4383213129129069;3.0945814465708703;-8.11794454001294;-0.001970737650352391;0.15395080714592618;66.12691632415873;-19.00131962255038;0.008049599438830681;0.8431479219737374;2.888888888888889;5.0;14.0;30.0;2.0;0.0;20.090000000000003;0.36000000000001364;3.5778421052631577;4.916826857180382;0.11200000000000898;0.09399999999999409;0.09924999999999873;0.007462405778305734;1.0
5;2.67;2.58;3.15;2.4;2.67;4.4;3.2;2.86;7029.819983459759;0.12599466311927043;48.645209391095854;235.48950167146864;6629.317965042397;0.002483764589783595;144.97855607188654;346.34636661421865;3764.8082646010016;2.3557049644183576e-06;73.1980802907561;258.17922053034056;6875792.672680507;-6219318.753599233;-8.296708337857543;45086.517065090185;6875792634.613518;-6875792672.745387;-9.861147253542566e-07;64123156.068335444;21.218999999999994;0.10600000000000875;5.38965625;4.672928007479456;5.333000000000013;1.017;2.2748636363636408;0.9723168346066555;1048.327214940776;35.74832778004556;368.6151072268807;267.5485653017928;9468.27902654666;0.9408623817357088;0.9998406293559429;0.13054765164651377;0.5875073300665973;0.2760806876733407;3.582153586419717;-18.70060780412884;-6.339343307557313;4.608462367999846;2.258803981279007;-70.03353649755383;-0.08473915090139539;1.134162113715032;7.682270453431494;-12.000734474106064;-0.0006909105013298761;0.2571458003503606;98.39820904448123;-61.83771866108334;0.0018853315765216222;1.8913567938117821;1.3333333333333333;2.0;10.0;9.0;3.0;0.0;4.369;0.3830000000000098;0.7710000000000005;0.8258835384287654;0.15200000000000102;0.13599999999999568;0.13890476190476198;0.003379275237945544;0.0
7;2.33;2.50;2.00;2.4;2.42;2.2;4.3;2.43;8120.2288470313915;0.16030220513099208;55.59457343665845;238.00507645362168;7196.290033338067;0.0;84.45910337112373;287.5565235540315;3761.8514436697265;2.034084900517004e-05;47.1846232088078;165.6962982704185;1151572.6784194137;-696281.9043958609;-0.1328019902340141;15599.340338941922;172762461.66485634;-230314535.68388253;-6.148810354666593e-09;4176343.414645685;13.945;0.15200000000001523;3.7067368421052636;3.828424512320621;11.141000000000005;1.2460000000000022;4.224647058823527;2.923462933319208;1095.3953213650832;56.82158537636496;380.36037524047197;284.36548363649854;8184.887700086078;0.9454265300108528;0.9799727143994437;0.04165178764028399;0.4854788497751264;0.35508776008586346;-2.392630593400687;-70.87347021015898;-34.516877853626205;22.920762215385185;-0.00044400245367053157;-254.3226119524353;-0.4499327818598653;4.777689311851286;4.8636788040095995;-14.449661400992431;-0.010759121663519907;0.30600799512270854;269.5663812854849;-32.535080795705056;0.0673470646149717;4.323591248587704;1.3333333333333333;2.0;6.0;14.0;5.0;0.0;9.641000000000005;0.34499999999999886;1.4271739130434777;2.065685056431147;0.13799999999999102;0.06699999999999307;0.10247826086956388;0.010989598106420568;0.0
8;3.67;3.42;3.08;4.2;3.67;2;3.9;3.29;23081.460611516217;0.05856114477704844;59.49536841907091;277.23838846228597;22642.61490991942;0.0;90.89896872594498;327.58575550978844;6900.304191587359;0.00044622174755149934;43.84513454716042;195.1732077817706;19833416.459691536;-21208183.956934422;-0.05107424407198988;110348.54999748277;21208183956.83361;-21208183773.288376;2.371524245832218e-06;156086669.59067938;11.863;0.1150000000000091;3.650903225806451;2.815062508385671;10.458;1.0159999999999982;2.807523809523808;2.3806922286445062;1092.7937792015616;21.018861515933562;252.4180074510761;236.6368485682886;7440.978129352913;0.9082641092676912;1.0;0.04314715035007564;0.5885261360181442;0.3417344207123049;7.853993188420023;-25.609625367046824;-9.007597786089326;7.920571005541923;12.210208417303527;-137.0876245656968;-0.10653495265576576;1.865351064891185;66.13363545420906;-21.04652776373228;0.014503313863124779;1.146576659455126;1228.4377874930265;-6665.417562615478;-1.1013502806958373;95.44419191590649;1.9444444444444444;1.0;5.0;3.0;7.0;1.0;11.314;0.2839999999999918;2.7226923076923066;2.1921694868717605;0.15699999999999648;0.06699999999999307;0.10653846153846235;0.019731331525950444;0.0
10;3.58;3.08;2.46;3.4;2.83;1.6;4.2;2.43;5655.215918789646;0.10584547554846255;40.419387628119594;201.01088013157386;3267.7442220106195;0.0;80.13118100713527;207.25258738311973;4615.551406673817;0.0022847929415105613;52.142925083014696;248.829594785188;229219.59156627132;-314940.63853541587;-2.1614981057710136;5668.102949965692;39367579.81687887;-56859742.68288529;7.94735268370356e-09;930671.5356271233;13.932000000000002;0.10299999999998022;4.267794871794872;4.106227067169228;8.275000000000006;1.0649999999999977;3.045631578947368;1.9367543715827455;1073.300847192231;10.999999999999773;211.18576378410512;211.26498388701867;7445.634900048478;0.9180241944833238;1.0;0.04240198236433581;0.7397114931415111;0.3148401209240532;9.476096391388834;-12.9055783063367;-1.8460871275595558;6.017612032175773;72.09244320880853;-110.62828267783911;-0.011396071462161697;2.0188004407790414;10.224937413675532;-26.788633236000518;-0.0020773768295607024;0.3961729480169626;1606.715556709239;-186.18922912650763;0.19909675832662746;19.596045628005726;2.0;3.0;18.0;15.0;2.0;0.0;4.511000000000024;0.38800000000000523;1.2098500000000012;1.0760170665468127;0.009000000000000341;0.006000000000000227;0.007199999999999563;0.0008717797887074478;0.0
13;2.92;4.08;2.77;2.6;2.75;4.2;2.8;2.86;14330.712763056643;0.4075378606616161;50.64169625079839;281.8370091617495;8450.14419536467;0.0062533251442488495;229.3243503024624;482.2347917942223;14245.518222113671;0.00011962940978624048;92.32649541970893;375.810757426548;3019045.2415671274;-2494843.3696885863;-5.7093586229443;28412.44509075426;1006348413.860438;-1444906323.692491;-1.0173944018340327e-07;13400631.646465404;24.779;0.32399999999998386;5.034423076923076;5.224437519765072;3.025999999999982;1.0629999999999882;1.8538095238095231;0.6028264078526555;1664.425801874468;58.72521698644172;325.5210663148772;333.72141562928755;10256.497144898178;0.9627573810400301;0.9982939777875403;0.060417383121171654;0.6504972168884338;0.3200075503707495;12.720259208924439;-35.72643099672161;-11.629440704241112;14.4632903554491;19.523346539752904;-26.67045413455272;-0.055054056737823986;0.6915316796118185;3.8229722648926203;-6.814267233452991;-0.004565646974612005;0.15498156467188853;48.0637675455724;-14.822341819127194;0.005168442434053592;0.5682584224716305;1.7222222222222223;2.0;15.0;2.0;4.0;0.0;27.931999999999995;0.4969999999999999;3.1034545454545466;5.632208711971405;0.18999999999999773;0.1559999999999775;0.17018181818181793;0.011621439292948467;2.0
15;4.00;2.67;1.69;3;2.75;2.8;3.8;2.57;8842.569050476937;0.11999151814492644;80.5475631170395;298.03031989386767;7924.021483971778;2.4045220925357863e-05;148.04193957607353;387.6188348643169;4890.773751604921;0.0;49.6763347936519;153.02271800439138;6323383.894017033;-6619745.776228677;-0.13542214092444177;73980.82543896015;6619745776.197068;-6619745671.177715;-3.7978377027077876e-06;104799110.86433081;12.397000000000006;0.10300000000000153;3.3965128205128203;3.4722970219740694;6.770000000000003;1.158;3.0974285714285696;1.3748041097320207;1245.080670051965;18.9999999999998;470.7425322303883;291.63030802302933;10800.595396835184;0.962589400203194;1.0;0.05895222202690882;0.324590319104191;0.32571992660713944;12.995413846738037;-23.524761046301283;-3.4482912021572454;8.981336214678947;36.02617708692623;-108.14123401126957;-0.030752013858951748;1.5825662737176416;5.292667279706608;-3.4900219786588824;-0.0006244039421712442;0.2281898885841849;11.088113947809918;-36.018893159985886;-0.0059667397808993786;0.5966459963173742;1.5;2.0;8.0;17.0;3.0;0.0;1.9620000000000033;0.291000000000011;0.6131904761904782;0.3697407868130137;0.18200000000000216;0.12000000000000455;0.14995238095238217;0.015527168786406444;0.0
17;3.42;2.67;3.00;3.4;2.67;3.6;4;2.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;4.00;1.42;2.62;3.4;2.75;2.4;3.2;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
