person_id,ALTSEARCH,DECDIFF,MAX,NEGAFFECT,NEURO,REGRET,SATISF,SELFREPR,t_quest_max,t_quest_min,t_quest_mean,t_quest_std,nr_abandons,nr_scroll,nr_items_scroll,nr_revisit,nr_correct_within_item,nr_correct_between_item,inter_item_interval_max,inter_item_interval_min,inter_item_interval_mean,inter_item_interval_std,time_click_max,time_click_min,time_click_mean,time_click_std,nr_pauses,t_pauses_max,t_pauses_min,t_pauses_mean,t_pauses_std,a_max,a_min,a_mean,a_std,jerk_max,jerk_min,jerk_mean,jerk_std,vt_max,vt_min,vt_mean,vt_std,vx_max,vx_min,vx_mean,vx_std,vy_max,vy_min,vy_mean,vy_std,angles_max,angles_min,angles_mean,angles_std,curvatures_max,curvatures_min,curvatures_mean,curvatures_std,jitter,l_strokes_max,l_strokes_min,l_strokes_mean,l_strokes_std,s,straightness_max,straightness_min,straightness_mean,straightness_std,var_curvatures_max,var_curvatures_min,var_curvatures_mean,var_curvatures_std,w_max,w_min,w_mean,w_std
20,2.92,2.75,2.15,3.4,3.08,2.2,4.1,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3.42,4.25,3.46,3.4,3.08,4.6,3.5,2.86,25.72,0.127,7.2904,7.2124721587,0,7,16,10,2,0,8.711,0.641,1.6877,1.8689211353,0.387,0.238,0.3008,0.0424977646,1.7222222222,23.633,1.252,6.9982,5.7394402712,1242833.05926726,-2869134.00952877,-5.0042038066607E-010,19807.9166265468,717283502.220694,-717283502.383863,1.74394500458433E-007,6749086.84356327,12099.1451014484,0.1177640325,32.8136021219,237.3992749236,5734.2902077927,0.0002479409,23.3442297637,150.6772667699,11965.3382310376,0.0003617568,16.7701608851,184.1339679088,9.0502065229,-10.4472116144,-2.6796339047,4.6968140307,3.7185037097,-6.727748744,-0.0012112602,0.1804867099,0.9601368974,1125.4722187795,16.9450118674,263.3587051255,250.6657536301,8700.6721867712,0.9988300679,0.075299695,0.6052990828,0.3112336895,46.0597267813,-16.0856504748,0.0074266026,0.7358465339,23.327275348,-46.4853486722,-0.0269238972,0.7675487897
24,3.5,3.25,3.69,3.2,2.92,4.2,3.7,2.71,10.149,0.105,3.5149142857,2.912178079,0,1,9,12,1,0,5.15,0.266,1.6411052632,1.4307239204,0.164,0.045,0.0993684211,0.0274345355,1.5555555556,7.279,1.063,2.8844444444,1.677514019,23813784.6436156,-20706588.4128286,-1.92975683029497E-010,150048.541331007,23813784643.6157,-25281447107.3502,2.95338635066588E-007,219878576.639116,25509.9192534664,0.7283990525,81.6573944445,370.8886221402,20759.8852363312,0.0014985723,72.0206004583,318.6807423136,14825.0850011975,0.0004866585,22.5962864876,192.279290423,52.1846403597,-2.2707316209,24.283702088,14.4277688247,7.2444657375,-6.8331393639,0.0045356308,0.1997585784,0.8715026332,1489.8298631987,7.8811604621,376.163620413,313.9235772519,11118.7290209397,0.9998958855,0.03890739,0.6702154874,0.3549124571,55.92877508,-64.384591994,-0.0091214494,1.2587090494,330.6518926988,-0.286265068,0.1627403233,3.4152292552
25,2.83,1.17,2.23,3.4,2.67,1.4,4,2.14,8.686,0.123,2.5044736842,2.4653919805,1,8,27,13,2,0,6.729,0.258,1.2593,1.5286637335,0.118,0.107,0.1112,0.0021817424,1.2222222222,10.048,1.349,3.2426190476,2.1809774671,12757695.9756607,-11961633.7822066,4.92497432309183E-010,135831.312635505,12757695962.9872,-12757695975.5998,1.60646018982659E-006,192485907.473174,16393.4409569956,0.4429511173,83.331573538,458.7139482705,14322.6890399078,0.0001603872,60.5238405681,367.5225770588,8532.0900064257,5.68434188607385E-011,42.1696471446,277.2154007643,34.3564263743,-0.3258254369,13.0781079725,7.7951853319,8.8979150559,-10.4219838992,0.000978317,0.2078893689,0.9720317848,1608.8237026262,28.6381712883,391.5329938883,375.2723795945,9167.872957922,0.9991809707,0.0939499743,0.6904406142,0.2905672873,113.4851693199,-125.4861560448,0.0086590405,1.9634657448,30.3204431845,-0.0086798372,0.0959630146,0.8768002063
27,1.75,2.17,2.23,2.8,2.5,2.6,4.2,2.29,11.683,0.101,3.1720285714,3.0559884768,1,6,24,10,2,0,5.021,0.248,1.3346,1.31448558,0.016,0.009,0.01185,0.0016515145,1.3888888889,8.393,1.069,2.5259130435,1.515670634,98529049.5979429,-99121306.2643774,-1.35902429183687E-011,452455.287884351,99121306225.742,-197650355862.079,3.9132642021482E-007,778222884.155308,101895.257813665,0.4151046731,89.9119064599,479.8952439691,95860.3330527112,0.0026060163,67.936912341,409.1510075331,34546.2025689743,6.04012484470176E-005,36.2639244185,255.0461779157,6.5209728762,-16.2825400931,-3.7858688431,5.7210028765,8.6086205645,-134.9589845035,-0.0142341498,1.2140163869,0.9148351667,1780.5979298826,40.2825536171,510.604864453,418.4694633622,14471.4894012916,0.9999962762,0.0176378413,0.5070188318,0.333832882,17547.3763786015,-3474.0584334504,1.0347305905,155.6551276655,3.1580108271,-23.028414377,-0.0303315677,0.3817003633
28,3.58,1.83,2.31,3.4,3,1.2,3.4,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4.58,4.17,3.15,3.4,2.75,4.4,3.8,2.29,6.473,0.102,1.3229036145,1.5875701037,7,8,24,48,3,2,6.437,0.233,1.3632608696,1.6473712714,0.157,0.068,0.1210869565,0.0219543262,1.6666666667,6.361,1.079,2.7770909091,1.6630168891,46563908.6781923,-46009397.6373195,1.27032575257399E-009,188479.296122392,46563908435.575,-46563908920.5548,-2.30227838809533E-006,266690324.600411,47970.9162644895,0.3263340956,59.5701401884,408.5588791229,43583.8700362299,1.41052396428913E-005,33.0597409681,363.1640891601,20041.3342849143,0.0001093911,35.5840626094,190.3198141867,24.7018655639,-4.730146745,8.1818288676,7.1188878104,42.705244887,-127.7804521069,-0.0090868049,1.346194466,0.9106756633,1685.375246689,50.8587289389,468.4002767108,467.3344222457,12431.2615050109,0.9991165993,0.0549857084,0.424315529,0.258623037,44525.2503758858,-4450.1823882139,2.9627136208,415.6101358724,21.0163360507,-3.198168773,0.0731265155,0.5542668389
30,3.92,2.92,3.54,3.4,3.17,4.8,3.9,3,14.577,0.307,4.77525,3.6412169068,0,2,5,8,1,0,2.793,0.281,0.9017777778,0.6899307981,0.129,0.027,0.0697894737,0.0207023491,1.5,10.104,1.172,4.1002307692,2.3514258572,45748065.3817726,-43954522.879254,-7.13213885607036E-009,215192.625262904,45748065112.2455,-89702588260.5983,6.21652768962561E-006,348609742.225933,46797.1699571556,0.4774650931,80.8033685338,501.7654811703,46797.0687026913,0.0011307411,72.4220699098,488.6708759745,4686.881661355,0.0025946606,17.4879537799,118.1006888097,17.57252949,-9.4809722611,3.3539091608,5.3790424198,6.674342979,-4.280695023,-0.0007024121,0.1331958702,0.9036384805,1279.683453213,17.3446326327,450.8342896485,295.5618936557,14683.3315861261,0.9994129305,0.0793895246,0.5513876163,0.3142451488,34.3263532353,-60.8631887793,0.0007050452,0.728373226,29.0970687181,-3.1059365306,0.0233206029,0.3649254531
31,4,3.17,3.23,2.8,3.08,3.8,4.2,3.29,16.955,0.128,5.7549047619,3.8702820853,0,1,6,0,2,0,6.923,0.337,3.78755,1.7919310387,0.013,0.006,0.00845,0.0014309088,1.2222222222,7.313,2.063,4.309,1.5273019161,429025.904881752,-569555.345319165,1.29520350315646E-011,11145.1104719343,76813404.2818421,-87906040.7951481,-1.91799661523007E-009,2520791.10723382,7232.4434542672,0.2867125682,48.0356287158,260.6969574387,4846.6766755143,0.1173698962,41.7254976939,203.389197209,5368.2365374671,0.0118145447,13.3593305877,164.2670716579,28.0350903896,-0.3360980585,17.7451499123,7.4450405671,3.2591689553,-7.3112214567,0.0035378828,0.1416132616,0.975359574,1025.4741858011,33,277.836643496,213.3089090486,5937.9174327311,1,0.167447417,0.8275344683,0.2493182713,64.3634597214,-11.1192666864,0.0065977439,0.8707058948,82.036198061,-0.0006356594,0.1582381014,1.8457350087
33,3.83,2.67,2.46,3.2,2.75,2.4,4.2,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
